,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain
1243,Marwin Hitz,Augsburg,Bundesliga,25,2250,1,1,0,0.110354319,0.017757444,0.110354319,0.004414173,0.000710298,0.004414173,GK,1,1,1,0,1.208304516,1.208304516
1244,Jan-Ingwer Callsen-Bracker,Augsburg,Bundesliga,23,2053,1,1,2,0.57625411,0.717439801,0.57625411,0.025261992,0.031451331,0.025261992,D S,11,6,4,0,2.963703912,3.151711161
1245,Daniel Baier,Augsburg,Bundesliga,34,3056,1,1,1,1.525961284,1.323480332,1.525961284,0.044939959,0.038976842,0.044939959,M,31,29,4,0,9.591947612,11.31232452
1246,Dominik Kohr,Augsburg,Bundesliga,26,1645,1,1,1,1.460885898,0.468639007,1.460885898,0.079926888,0.025639824,0.079926888,D M S,18,11,10,0,1.578172212,2.328481015
1247,Alexander Esswein,Augsburg,Bundesliga,19,861,1,1,3,1.325614072,1.706099194,1.325614072,0.138565931,0.178337895,0.138565931,M S,24,16,0,0,1.0018322,3.829950253
1248,Caiuby,Augsburg,Bundesliga,22,795,1,1,0,1.158994546,0.802777896,1.158994546,0.13120693,0.090880516,0.13120693,F M S,24,11,3,0,1.702724606,3.419084096
1249,Markus Feulner,Augsburg,Bundesliga,25,1973,1,1,0,1.907047998,1.093618056,1.907047998,0.086991546,0.049886277,0.086991546,D M S,31,14,7,0,2.80430506,4.814922648
1250,Bastian Oczipka,Eintracht Frankfurt,Bundesliga,30,2571,1,1,4,0.323836935,2.802838372,0.323836935,0.011336182,0.098115696,0.011336182,D S,11,44,6,0,4.515838529,5.524762687
1251,Stefan Reinartz,Bayer Leverkusen,Bundesliga,17,960,1,1,0,0.84258633,0.934832761,0.84258633,0.078992468,0.087640571,0.078992468,M S,16,11,2,0,2.158710586,3.082213916
1252,Vaclav Kadlec,Eintracht Frankfurt,Bundesliga,4,116,1,1,0,1.005513608,0,1.005513608,0.780139869,0,0.780139869,M S,9,0,0,0,0,1.005513608
1253,Peter Niemeyer,Hertha Berlin,Bundesliga,17,896,1,1,0,1.048390751,0,1.048390751,0.105307107,0,0.105307107,M S,7,0,6,0,1.252281504,1.314582194
1254,Fabian Johnson,Borussia M.Gladbach,Bundesliga,24,1421,1,1,4,1.929025739,2.66037238,1.929025739,0.122176155,0.168496491,0.122176155,M S,18,17,0,0,3.538599875,6.855981689
1255,Medhi Benatia,Bayern Munich,Bundesliga,15,1150,1,1,0,1.086859252,0.392250367,1.086859252,0.08505855,0.030697855,0.08505855,D S,10,3,4,0,3.519703623,3.68089008
1256,Oliver Sorg,Freiburg,Bundesliga,25,2058,1,1,3,0.680341092,2.024550434,0.680341092,0.029752526,0.088537191,0.029752526,D M S,25,13,3,0,1.572832514,4.079030819
1257,Timothy Chandler,Eintracht Frankfurt,Bundesliga,29,2331,1,1,1,0.374269171,2.295862913,0.374269171,0.014450547,0.088643356,0.014450547,D S,14,24,7,0,4.70089547,5.647542544
1258,Sokratis,Borussia Dortmund,Bundesliga,21,1726,1,1,0,0.599272853,0.356668203,0.599272853,0.031248295,0.018597994,0.031248295,D S,12,7,6,0,5.330763564,5.593086355
1259,David Alaba,Bayern Munich,Bundesliga,19,1666,1,1,1,1.209724804,2.671552075,1.209724804,0.06535128,0.144321541,0.06535128,D M,27,23,0,0,8.7168703,9.643890217
1260,Sascha Mölders,Augsburg,Bundesliga,12,343,1,1,0,0.565790337,0.13698565,0.565790337,0.148458106,0.035943757,0.148458106,F S,11,4,1,0,0.261632757,0.964408744
1261,Levent Aycicek,Werder Bremen,Bundesliga,11,538,1,1,0,1.80639554,1.114079436,1.80639554,0.302185128,0.186370166,0.302185128,M S,11,14,1,0,0.846546432,3.192975517
1262,Juan Bernat,Bayern Munich,Bundesliga,31,2556,1,1,0,2.234889975,1.972505299,2.234889975,0.078693309,0.069454412,0.078693309,D M S,33,18,1,0,8.455462735,12.08970013
1263,Lars Bender,Bayer Leverkusen,Bundesliga,26,2038,1,1,3,1.439266771,2.175252226,1.439266771,0.063559377,0.096061188,0.063559377,D M S,22,19,5,0,4.494489415,6.143335
